Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Antigua and Barbuda","Import Value","Maize (corn)","2022","36"
"Detailed trade matrix","United States of America","Argentina","Import Value","Maize (corn)","2022","70913"
"Detailed trade matrix","United States of America","Austria","Import Value","Maize (corn)","2022","21"
"Detailed trade matrix","United States of America","Belgium","Import Value","Sweet corn, frozen","2022","658"
"Detailed trade matrix","United States of America","Bolivia (Plurinational State of)","Import Value","Maize (corn)","2022","55"
"Detailed trade matrix","United States of America","Brazil","Import Value","Maize (corn)","2022","50008"
"Detailed trade matrix","United States of America","Brazil","Import Value","Sweet corn, frozen","2022","5"
"Detailed trade matrix","United States of America","Brazil","Import Value","Sweet corn, prepared or preserved","2022","2518"
"Detailed trade matrix","United States of America","Canada","Import Value","Green corn (maize)","2022","7633"
"Detailed trade matrix","United States of America","Canada","Import Value","Maize (corn)","2022","128942"
"Detailed trade matrix","United States of America","Canada","Import Value","Sweet corn, frozen","2022","21110"
"Detailed trade matrix","United States of America","Canada","Import Value","Sweet corn, prepared or preserved","2022","1941"
"Detailed trade matrix","United States of America","Chile","Import Value","Maize (corn)","2022","67641"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Maize (corn)","2022","159"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Sweet corn, frozen","2022","4635"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Sweet corn, prepared or preserved","2022","16846"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Value","Maize (corn)","2022","87"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Value","Sweet corn, frozen","2022","4"
"Detailed trade matrix","United States of America","Colombia","Import Value","Maize (corn)","2022","65"
"Detailed trade matrix","United States of America","Colombia","Import Value","Sweet corn, prepared or preserved","2022","14"
"Detailed trade matrix","United States of America","Costa Rica","Import Value","Sweet corn, frozen","2022","298"
"Detailed trade matrix","United States of America","Dominican Republic","Import Value","Sweet corn, frozen","2022","25"
"Detailed trade matrix","United States of America","Ecuador","Import Value","Maize (corn)","2022","19"
"Detailed trade matrix","United States of America","Ecuador","Import Value","Sweet corn, frozen","2022","64"
"Detailed trade matrix","United States of America","Egypt","Import Value","Green corn (maize)","2022","135"
"Detailed trade matrix","United States of America","Egypt","Import Value","Sweet corn, frozen","2022","283"
"Detailed trade matrix","United States of America","Egypt","Import Value","Sweet corn, prepared or preserved","2022","105"
"Detailed trade matrix","United States of America","El Salvador","Import Value","Maize (corn)","2022","18"
"Detailed trade matrix","United States of America","El Salvador","Import Value","Sweet corn, frozen","2022","966"
"Detailed trade matrix","United States of America","France","Import Value","Maize (corn)","2022","5070"
"Detailed trade matrix","United States of America","France","Import Value","Sweet corn, frozen","2022","255"
"Detailed trade matrix","United States of America","France","Import Value","Sweet corn, prepared or preserved","2022","94"
"Detailed trade matrix","United States of America","Germany","Import Value","Maize (corn)","2022","188"
"Detailed trade matrix","United States of America","Ghana","Import Value","Maize (corn)","2022","12"
"Detailed trade matrix","United States of America","Guatemala","Import Value","Green corn (maize)","2022","3929"
